Model,Crew,Seats,CruiseSpeed,GPH,FuelType,MTOW,EmptyWeight,Price,Ext1,LTip,LAux,LMain,Center1,Center2,Center3,RMain,RAux,RTip,RExt2,Engines,EnginePrice,ModelId,
Beechcraft King Air 300,0,15,257,90,1,6363,4009,984900.00,0,0,80,190,0,0,0,190,80,0,0,2,114000.00,160,
Beechcraft King Air 350,0,15,248,112,1,6804,4123,892500.00,0,0,80,190,0,0,0,190,80,0,0,2,114000.00,33,
Beechcraft King Air C90,0,12,240,70,1,4581,3005,715350.00,0,0,0,192,0,0,0,192,0,0,0,2,114000.00,81,
Beechcraft Queen Air,0,12,180,30,0,3493,2449,562500.00,0,0,10,0,150,0,0,0,10,0,0,2,114000.00,35,
Beechcraft Queen Air 80S,0,11,180,34,0,3622,2173,504300.00,0,0,0,71,150,0,0,71,0,0,0,2,114000.00,79,
Beechcraft Royal Turbine Duke B60,0,6,265,66,1,3197,2109,407700.00,0,0,0,130,0,0,0,130,0,0,0,2,44000.00,262,
Beechcraft T-34 Mentor,0,2,180,15,0,1400,1018,93000.00,0,0,0,22,0,0,0,22,0,0,0,1,44000.00,175,
Beechcraft Twin Bonanza 50,0,8,180,20,0,2710,1778,357000.00,0,0,0,71,0,0,0,71,0,0,0,2,44000.00,51,
Bell 205A-1/UH-1C,0,7,105,28,1,3158,2497,159600.00,0,0,0,0,91,0,0,0,0,0,0,1,114000.00,76,
Bell 206B,0,5,115,29,1,1452,799,107550.00,0,0,0,0,91,0,0,0,0,0,0,1,114000.00,69,
Bell 206L RTW N3911Z,0,2,115,29,1,1500,799,107550.00,0,0,0,0,242,0,0,0,0,0,0,1,114000.00,254,
Bell 212,0,14,100,137,1,5080,2516,317504.00,0,0,0,0,326,0,0,0,0,0,0,2,114000.00,219,
Bell 407,0,7,128,42,1,2268,1178,186300.00,0,0,0,0,127,0,0,0,0,0,0,1,114000.00,156,
Bell 412,0,15,135,115,1,5397,3156,307500.00,0,0,0,0,326,0,0,0,0,0,0,2,114000.00,103,
Bell 430,0,8,139,65,1,4086,2354,223650.00,0,0,0,0,247,0,0,0,0,0,0,2,114000.00,75,
Bell 430 RTW N430Q,0,8,139,65,1,4086,2354,223650.00,0,0,0,24,247,105,0,24,0,0,0,2,114000.00,222,
Bell 47G-2,0,3,80,13,0,1295,788,34350.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,271,
Bell UH-1H Huey,0,13,90,90,1,4309,2358,256500.00,0,0,0,0,220,0,0,0,0,0,0,1,143000.00,268,
Bellanca 260,0,4,176,12,0,1136,794,145800.00,0,0,0,29,0,0,0,29,0,0,0,1,44000.00,131,
Beriev BE-103,0,6,135,30,0,2270,1680,171000.00,0,0,0,68,0,0,0,68,0,0,0,2,22000.00,46,
Boeing 221A Monomail,0,6,135,40,0,3629,2067,201000.00,0,0,0,150,0,0,0,150,0,0,0,1,22000.00,301,
Boeing 247D,0,10,164,50,0,7623,4055,0.00,0,0,0,100,73,0,0,100,0,0,0,2,66000.00,284,
Boeing 377,6,75,300,750,0,66818,38083,5910000.00,0,0,1520,1770,1210,0,0,1770,1520,0,0,4,66000.00,194,
Boeing 727-100/200,12,135,495,1000,1,76726,45400,0.00,0,0,0,1818,2550,1000,1000,1818,0,0,0,3,160000.00,281,
Boeing 737-800,12,162,435,700,1,70535,41145,0.00,0,0,0,1288,4299,0,0,1288,0,0,0,2,210000.00,282,
Boeing 747-400,19,417,504,3000,1,396893,178755,0.00,0,1322,4482,12546,17164,3300,0,12546,4482,1322,0,4,210000.00,338,
Boeing B-17G,12,11,210,205,0,29710,16391,2250000.00,0,540,425,425,410,410,0,425,425,540,0,4,143000.00,197,
Boeing Stearman,0,2,102,20,0,1232,878,52200.00,0,0,0,0,46,0,0,0,0,0,0,1,44000.00,189,
Boeing Vertol CH-47 Chinook,4,46,138,220,1,22680,10150,1699855.00,0,0,261,261,0,0,0,261,261,0,0,2,114000.00,232,
Bombardier Challenger 300,1,10,458,265,1,17622,10773,898350.00,0,0,0,1194,0,0,0,1194,0,0,0,2,160000.00,283,
Bombardier CL-415,1,11,205,380,1,21318,10546,1029646.00,0,0,0,776,2045,0,0,776,0,0,0,2,143000.00,243,
Bombardier CRJ-200ER,4,52,437,350,1,23178,9298,6784163.00,0,0,0,600,700,0,0,600,0,0,0,2,160000.00,216,
Bombardier CRJ700-ER,6,74,455,500,1,34132,19731,9285000.00,0,0,0,720,1580,0,0,720,0,0,0,2,160000.00,249,
Bombardier Dash-8 Q400,7,78,380,250,1,29256,17185,8526906.00,0,0,0,886,0,0,0,886,0,0,0,2,143000.00,211,
Bombardier Lear 60,1,11,447,280,1,10660,6641,1779402.00,0,0,0,241,835,0,0,241,0,0,0,2,160000.00,220,
Bristol Britannia 300,9,105,330,1000,1,83912,42469,9075000.00,0,0,2410,2004,1476,0,0,2004,2410,0,0,4,143000.00,203,
Bristol Mark 32 Superfreighter,1,20,190,343,0,19958,13585,749850.00,0,120,163,420,0,0,0,420,163,120,0,2,66000.00,314,
Britten Norman BN-2A Mk3-3 Trislander,0,16,145,66,0,4536,2485,626700.00,0,0,0,68,0,0,0,68,0,0,0,3,44000.00,207,
Britten-Norman BN-2B Islander,0,10,132,30,0,2993,1925,324900.00,0,0,0,68,0,0,0,68,0,0,0,2,66000.00,84,
Bucker Jungmann 131,0,2,105,12,0,680,390,50400.00,0,0,0,0,23,0,0,0,0,0,0,1,22000.00,250,
CASA CN235,4,47,245,136,1,16500,9800,3191700.00,0,0,347,347,0,0,0,347,347,0,0,2,143000.00,258,
Cessna 152 Aerobat,0,3,90,8,0,820,517,18600.00,0,0,0,13,0,0,0,13,0,0,0,1,22000.00,3,
Cessna 162 Skycatcher,0,2,113,6,0,599,382,61500.00,0,0,0,13,0,0,0,13,0,0,0,1,22000.00,280,
Cessna 172 Skyhawk,0,4,100,8,0,1180,748,72600.00,0,0,0,27,0,0,0,27,0,0,0,1,22000.00,1,
Cessna 177 Cardinal,0,4,125,10,0,1133,745,102000.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,11,
Cessna 177RG Cardinal,0,4,130,12,0,1270,800,104000.00,0,0,0,31,0,0,0,31,0,0,0,1,22000.00,57,
Cessna 182 Skylane,0,4,125,14,0,1410,821,97800.00,0,0,0,46,0,0,0,46,0,0,0,1,22000.00,6,
Cessna 185 Skywagon,0,6,120,13,0,1519,727,197400.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,92,
Cessna 195,0,5,145,13,0,1519,929,160350.00,0,0,0,40,0,0,0,40,0,0,0,1,22000.00,87,
Cessna 206 Stationair,0,6,150,16,0,1633,883,208200.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,43,
Cessna 207 Stationair 8,0,8,144,15,0,1724,862,286650.00,0,0,0,40,0,0,0,40,0,0,0,1,22000.00,113,
Cessna 208 Caravan,0,14,182,40,1,3985,2075,657300.00,0,0,0,166,0,0,0,166,0,0,0,1,114000.00,22,
Cessna 210 Centurion,0,6,160,15,0,1800,1023,224250.00,0,0,0,45,0,0,0,45,0,0,0,1,44000.00,9,
Cessna 310,0,6,156,24,0,2585,1642,208800.00,0,0,41,51,0,0,0,51,41,0,0,2,44000.00,10,
Cessna 337 Skymaster,0,6,140,18,0,1996,1204,191100.00,0,0,0,75,0,0,0,75,0,0,0,2,44000.00,61,
Cessna 340A,0,6,217,30,0,2719,1780,359100.00,0,0,31,50,0,0,0,50,31,0,0,2,44000.00,261,
Cessna 404 Titan,0,10,217,30,0,3810,2192,554400.00,0,0,0,174,0,0,0,174,0,0,0,2,66000.00,93,
Cessna 414A Chancellor,0,8,240,36,0,3068,1984,538200.00,0,0,0,100,0,0,0,100,0,0,0,2,66000.00,214,
Cessna 421 Golden Eagle,0,8,230,30,0,3451,2443,451500.00,0,0,0,121,0,0,0,121,0,0,0,2,66000.00,41,
Cessna 441 Conquest II,0,11,230,60,1,4501,2592,696000.00,0,0,0,241,0,0,0,241,0,0,0,2,114000.00,42,
Cessna Citation CJ1,0,8,360,150,1,4808,2930,568500.00,0,0,0,240,0,0,0,240,0,0,0,2,160000.00,166,
Cessna Citation II,0,10,400,160,1,6577,3220,732000.00,0,0,0,371,0,0,0,371,0,0,0,2,160000.00,165,
Cessna Citation X,1,12,450,200,1,16511,9797,1110000.00,0,0,0,522,896,0,0,522,0,0,0,2,160000.00,167,
Cessna L-19/O-1 Birddog,0,3,125,8,0,1089,682,104100.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,237,
Cessna Mustang,0,6,330,100,1,5350,3960,390000.00,0,0,0,193,0,0,0,193,0,0,0,2,160000.00,177,
Cessna Soloy Mk1 U206 Turbo,0,6,152,28,1,1633,971,244200.00,0,0,0,43,0,0,0,43,0,0,0,1,114000.00,334,
Cessna T-50 Bobcat,0,5,125,28,0,2591,1841,156000.00,0,0,0,60,0,0,0,60,0,0,0,2,66000.00,174,
Cessna T303 Crusader,0,6,165,27,0,2336,1499,268650.00,0,0,0,71,0,0,0,71,0,0,0,2,44000.00,321,
Cessna/Reims F-406 Caravan II,0,14,200,70,1,4099,2283,766500.00,0,0,0,240,0,0,0,240,0,0,0,2,114000.00,335,
Cirrus SR20,0,4,156,10,0,1360,938,129900.00,0,0,0,28,0,0,0,28,0,0,0,1,44000.00,77,
Cirrus SR22 G2,0,4,200,10,0,1545,1023,156000.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,16,
Columbia 400,0,4,230,20,0,1636,1136,186000.00,0,0,0,49,0,0,0,49,0,0,0,1,44000.00,139,
Commander 112,0,4,143,12,0,1204,695,116100.00,0,0,0,24,0,0,0,24,0,0,0,1,22000.00,107,
Commander 115,0,4,190,31,0,1500,976,138450.00,0,0,0,45,0,0,0,45,0,0,0,1,44000.00,39,
Consolidated C-87 Liberator Express,2,27,170,203,0,25401,13900,1103850.00,0,300,225,930,0,0,0,930,225,300,0,4,66000.00,332,
Consolidated PBY5 Catalina,2,26,115,110,0,16098,9384,852500.00,0,0,0,875,0,0,0,875,0,0,0,2,66000.00,94,
Convair 340/440,4,52,230,205,0,22544,13828,3114750.00,0,0,0,863,0,0,0,863,0,0,0,2,66000.00,144,
Convair 580,5,56,282,300,1,26371,14772,4133400.00,0,0,0,863,0,0,0,863,0,0,0,2,143000.00,147,
Curtiss C46,4,52,135,160,0,20000,13710,1737000.00,0,0,0,703,0,0,0,703,0,0,0,2,66000.00,150,
Curtiss Robertson Robin J-1,0,3,100,12,0,910,699,77400.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,239,
Dassault Falcon 50,0,10,450,433,1,17600,9163,895350.00,0,0,0,765,765,0,0,765,0,0,0,3,160000.00,327,
Dassault Falcon 7X,1,16,480,600,1,31338,15059,1296000.00,0,0,0,1756,1809,0,0,1756,0,0,0,3,114000.00,206,
DeHavilland Dash 7,4,54,230,300,1,20000,12568,3738000.00,0,0,421,310,0,0,0,310,421,0,0,4,143000.00,180,
DeHavilland Dash 8 100/200,3,39,260,200,1,16400,10400,2586000.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,151,
DeHavilland Dash 8 Q300,4,55,285,220,1,19500,11791,4437000.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,294,
DeHavilland DH 89 Dragon Rapide,0,9,100,20,0,2494,1330,219000.00,0,0,0,45,0,0,0,45,0,0,0,2,22000.00,105,
DeHavilland DH-82 Tiger Moth,0,2,95,9,0,816,512,47550.00,0,0,0,0,20,0,0,0,0,0,0,1,66000.00,242,
DeHavilland DH104 Dove,0,10,174,40,0,3856,2563,427800.00,0,0,0,101,0,0,0,101,0,0,0,2,66000.00,106,
DeHavilland DH114 Heron,1,16,145,64,0,5909,3704,598800.00,0,0,45,122,0,0,0,122,45,0,0,4,66000.00,306,
DeHavilland DH80A Puss Moth,0,3,108,7,0,930,575,77250.00,0,0,0,27,0,0,0,27,0,0,0,1,44000.00,226,
DeHavilland DHC-1 Chipmunk,0,2,136,12,0,837,537,70200.00,0,0,0,30,0,0,0,30,0,0,0,1,22000.00,238,
DeHavilland DHC-2 Beaver,0,9,109,18,0,2220,1293,210000.00,0,0,0,0,35,35,25,0,0,0,0,1,44000.00,5,
DeHavilland DHC-2 Turbo Beaver,0,9,140,50,1,2727,1268,283500.00,0,0,0,80,80,0,0,23,0,0,0,1,114000.00,136,
DeHavilland DHC-3 Otter,0,14,105,26,0,3629,2110,424050.00,0,0,0,0,62,103,51,0,0,0,0,1,66000.00,37,
DeHavilland DHC-3-T Turbo Otter,0,16,135,49,1,3931,1710,596550.00,0,0,0,85,85,0,0,85,0,0,0,1,114000.00,230,
DeHavilland DHC-4 Caribou,2,32,158,200,0,12954,8293,1152000.00,0,0,0,415,0,0,0,415,0,0,0,2,66000.00,132,
DeHavilland DHC-5 Buffalo,4,46,240,215,1,22364,11436,2852250.00,0,0,0,420,0,0,0,420,0,0,0,2,143000.00,178,
DeHavilland DHC-6 300 Twin Otter (Aerosoft Extended),1,21,170,60,1,5669,3265,783000.00,0,37,0,0,181,197,0,0,0,37,0,2,114000.00,298,
DeHavilland DHC-6 Twin Otter,1,21,170,110,1,5669,3265,783000.00,0,0,0,208,0,0,0,208,0,0,0,2,114000.00,45,
Diamond DA-42 Twin Star,0,4,151,11,1,1785,1263,116250.00,0,0,0,26,0,0,0,26,0,0,0,2,44000.00,108,
Diamond DA20 Katana,0,2,95,5,0,757,519,31650.00,0,0,0,0,20,0,0,0,0,0,0,1,22000.00,13,
Diamond DA40D DiamondStar,0,4,135,5,1,1150,735,124350.00,0,0,0,21,0,0,0,21,0,0,0,1,22000.00,72,
Dornier 228,1,21,230,95,1,6400,3258,1270800.00,0,0,0,300,0,0,0,300,0,0,0,2,114000.00,195,
Dornier 328,2,33,265,244,1,13990,8920,2307300.00,0,0,0,300,0,0,0,300,0,0,0,2,143000.00,313,
Dornier Do-27 A4,0,6,125,16,0,1572,1052,170700.00,0,0,0,48,0,0,0,48,0,0,0,1,22000.00,141,
Dornier Do-27 B1,0,6,125,16,0,1570,1070,170700.00,0,0,0,28,0,0,0,28,0,0,0,1,22000.00,140,
Dornier Do-28 A/B,0,6,130,27,0,2714,1726,205650.00,0,0,0,30,0,0,0,30,0,0,0,2,44000.00,319,
Douglas A-26,0,9,200,150,0,15909,10168,322500.00,0,290,100,125,0,0,0,0,100,290,0,2,66000.00,157,
Douglas C117D,2,32,170,85,0,14061,8600,1452750.00,0,411,200,202,0,0,0,202,200,411,0,2,66000.00,303,
Douglas DC-2,1,18,150,90,0,8436,5604,595500.00,0,0,75,0,180,0,0,0,75,0,180,2,66000.00,172,
Douglas DC-2 (FSX),1,18,150,80,0,8436,5604,595500.00,0,0,75,0,180,180,0,0,75,0,0,2,66000.00,233,
Douglas DC-3,2,28,140,95,0,11909,7325,1010250.00,0,0,0,202,200,200,0,202,0,0,0,2,66000.00,18,
Douglas DC-4,8,86,270,250,0,33111,18583,6501750.00,0,0,0,1780,0,0,0,1780,0,0,0,4,66000.00,266,
Douglas DC-6,5,56,290,350,0,47180,28727,4210500.00,0,0,1342,0,1414,1414,0,0,1342,0,0,4,66000.00,183,
Douglas DC-6B,9,97,290,350,0,49000,28727,7657050.00,0,0,1342,0,1414,1414,0,0,1342,0,0,4,66000.00,267,
Douglas DC-7B,8,95,300,460,0,64864,26376,7827000.00,2000,0,1500,0,0,0,0,0,1500,0,2000,4,66000.00,292,
Douglas DC-7C,9,105,280,520,0,64864,33005,8674500.00,2500,0,1750,0,0,0,0,0,1750,0,2500,4,66000.00,293,
Douglas DC-8 (10-40),6,140,480,2558,1,140614,62051,0.00,0,1542,1846,2589,2976,2589,4152,2976,1846,1542,0,4,210000.00,308,
Eclipse 500,0,6,370,75,1,2699,1537,587250.00,0,0,0,115,0,0,0,115,0,0,0,2,160000.00,244,
Embraer 110,1,20,248,110,1,5700,3515,1193700.00,0,0,0,227,0,0,0,227,0,0,0,2,114000.00,149,
Embraer 120,2,32,260,140,1,11500,7100,2133000.00,0,0,0,227,0,0,0,227,0,0,0,2,143000.00,148,
Embraer ERJ-135LR,3,39,455,365,1,19999,11499,4865631.00,0,0,0,851,0,0,0,851,0,0,0,2,160000.00,252,
Embraer ERJ-145LR,4,52,435,375,1,21999,12399,6336653.00,0,0,0,851,0,0,0,851,0,0,0,2,210000.00,221,
Embraer Legacy 600,1,15,450,313,1,24500,16000,1366350.00,217,0,0,845,294,294,0,845,0,0,217,2,160000.00,184,
Embraer Phenom 100,0,6,360,134,1,4750,3235,507300.00,0,0,0,209,0,0,0,209,0,0,0,2,160000.00,302,
Embraer Phenom 300,0,10,380,185,1,8390,5171,946800.00,0,0,0,403,0,0,0,403,0,0,0,2,160000.00,323,
ERCO Ercoupe 415-C,0,2,80,6,0,572,339,41700.00,0,0,0,8,5,0,0,8,0,0,0,1,22000.00,272,
Eurocopter AS-332 Super Puma,2,27,150,376,1,9299,4660,760200.00,85,65,112,65,0,0,0,62,107,128,85,2,160000.00,330,
Eurocopter AS-350 Ecureuil,0,6,131,30,1,2250,1171,165000.00,0,0,0,0,143,0,0,0,0,0,0,1,114000.00,83,
Eurocopter AS365,0,13,145,155,1,4300,2400,388800.00,0,0,0,153,0,0,0,153,0,0,0,2,114000.00,339,
Eurocopter BK117,0,8,130,60,1,3200,1500,210000.00,0,0,0,94,0,0,0,94,0,0,0,2,114000.00,162,
Eurocopter Colibri EC 120,0,5,125,65,1,1318,455,81750.00,0,0,0,0,121,0,0,0,0,0,0,1,114000.00,98,
Eurocopter EC-135,0,8,137,62,1,2910,1455,360779.00,0,0,75,16,0,0,0,17,75,0,0,2,114000.00,213,
Fairchild 24R,0,4,105,12,0,1259,762,164230.00,0,0,0,20,0,0,0,20,0,0,0,1,22000.00,218,
Fairchild C119,6,67,200,120,0,31145,16145,3684000.00,0,0,0,202,200,0,0,202,0,0,0,2,66000.00,134,
Fairchild C123,2,32,180,120,0,23519,12519,1434000.00,0,0,0,722,0,0,0,722,0,0,0,2,66000.00,171,
Fairchild Metro III,1,21,248,120,1,7303,4037,1257600.00,0,0,0,325,0,0,0,325,0,0,0,2,143000.00,96,
Fairchild PT19/26 Cornell,0,2,110,13,0,1173,822,52350.00,0,0,0,23,0,0,0,23,0,0,0,1,22000.00,245,
Fokker F27-500 Friendship,5,57,280,325,1,20409,12243,4371828.00,0,0,0,650,0,0,0,650,0,0,0,2,143000.00,212,
Ford Tri-Motor,0,9,85,42,0,4610,3000,185400.00,0,0,0,100,31,0,0,100,0,0,0,3,66000.00,179,
Found Bush Hawk,0,5,145,9,0,1588,895,164550.00,0,0,0,50,0,0,0,50,0,0,0,1,22000.00,90,
Gippsland GA8 Airvan,0,8,120,15,0,1815,862,236250.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,89,
Globe Swift,0,2,120,9,0,980,500,26550.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,138,
Grumman G-21 Goose,0,10,155,50,0,4220,2800,412500.00,0,0,0,170,0,0,0,170,0,0,0,2,66000.00,63,
Grumman G-44 Widgeon,0,6,130,20,0,2041,1447,174000.00,0,0,0,54,0,0,0,54,0,0,0,2,22000.00,123,
Grumman G-73 Mallard,0,11,157,51,0,5783,4193,434550.00,0,0,50,180,0,0,0,180,50,0,0,2,114000.00,322,
Grumman G-73T Turbo Mallard,1,20,157,54,1,6350,3969,855300.00,0,0,46,190,0,0,0,190,46,0,0,2,114000.00,331,
Grumman HU-16B Albatross,2,30,155,110,0,15227,10227,1126500.00,0,0,200,337,0,0,0,338,200,0,0,2,66000.00,114,
Grumman S2/C1,0,10,200,84,0,11110,7560,451800.00,0,0,0,273,0,0,0,273,0,0,0,2,66000.00,297,
Grumman Tiger,0,4,140,11,0,1091,588,114450.00,0,0,0,26,0,0,0,26,0,0,0,1,22000.00,146,
Grumman Turbo Goose,0,10,200,100,1,5670,3175,495000.00,0,0,0,211,0,0,0,211,0,0,0,2,66000.00,260,
Hawker 850XP,0,9,465,240,1,12755,7393,864000.00,0,0,0,635,224,0,0,635,0,0,0,2,160000.00,315,
Hawker Siddeley HS-748,4,53,244,200,1,21092,11570,3403200.00,0,0,0,865,0,0,0,865,0,0,0,2,143000.00,135,
Helio Super Courier H-295/U-10b,0,6,130,17,0,1542,943,177150.00,0,0,0,60,0,0,0,60,0,0,0,1,22000.00,117,
Howard DGA-15,0,5,170,24,0,1972,1236,229800.00,0,0,0,41,0,0,0,41,0,0,0,1,44000.00,210,
Howard Aero 500,0,14,270,250,0,15678,10886,790500.00,0,191,217,350,0,0,0,350,217,191,0,2,66000.00,20,
Hughes 269,0,2,85,8,0,793,493,42600.00,0,0,0,35,0,0,0,30,0,0,0,1,22000.00,333,
Hughes/McDonnell Douglas MD500E,0,5,134,35,1,1350,675,124050.00,0,0,0,0,75,0,0,0,0,0,0,1,114000.00,59,
Ilyushin Il-14,2,35,190,75,0,17500,12500,1639500.00,0,0,0,465,0,0,0,465,0,0,0,2,66000.00,196,
Ilyushin Il-18D,9,100,310,600,1,64000,35000,8430000.00,264,855,1271,0,944,1593,944,0,1271,855,264,4,143000.00,202,
Junkers Ju-52,1,20,105,141,0,10500,6590,439260.00,0,0,0,317,13,0,0,317,0,0,0,3,66000.00,200,
Junkers W33 EW Flight,2,6,100,30,0,2829,612,217721.00,0,0,0,300,130,0,0,300,0,0,0,1,66000.00,223,
Junkers W33/34,0,6,100,30,0,1678,612,217721.00,0,0,0,100,31,0,0,100,0,0,0,1,66000.00,224,
